DatasetID,TagName
463,"comma separated files in a compressed zip file"
102,"comma separated value spreadsheet"
280,"comma-separated values (.csv)"
1725,"comma-separated values (.csv)"
788,"compressed zip file containing csv data files."
1617,cpg
1449,css
1,csv
2,csv
3,csv
4,csv
6,csv
7,csv
9,csv
11,csv
12,csv
13,csv
14,csv
16,csv
17,csv
18,csv
19,csv
23,csv
26,csv
27,csv
28,csv
31,csv
32,csv
34,csv
36,csv
43,csv
46,csv
52,csv
53,csv
55,csv
58,csv
61,csv
62,csv
63,csv
65,csv
66,csv
72,csv
75,csv
76,csv
79,csv
85,csv
89,csv
90,csv
91,csv
100,csv
101,csv
104,csv
109,csv
110,csv
115,csv
116,csv
117,csv
119,csv
120,csv
122,csv
125,csv
126,csv
127,csv
133,csv
134,csv
137,csv
141,csv
142,csv
146,csv
147,csv
148,csv
150,csv
151,csv
154,csv
158,csv
163,csv
164,csv
165,csv
166,csv
169,csv
171,csv
173,csv
174,csv
175,csv
177,csv
179,csv
184,csv
195,csv
201,csv
203,csv
204,csv
209,csv
210,csv
212,csv
217,csv
221,csv
227,csv
229,csv
230,csv
231,csv
233,csv
235,csv
238,csv
240,csv
242,csv
243,csv
244,csv
245,csv
246,csv
247,csv
253,csv
257,csv
260,csv
261,csv
263,csv
264,csv
266,csv
267,csv
272,csv
277,csv
278,csv
284,csv
286,csv
287,csv
294,csv
300,csv
301,csv
305,csv
306,csv
307,csv
308,csv
311,csv
313,csv
315,csv
316,csv
317,csv
322,csv
324,csv
325,csv
326,csv
327,csv
329,csv
333,csv
335,csv
336,csv
338,csv
341,csv
347,csv
350,csv
353,csv
354,csv
355,csv
356,csv
357,csv
358,csv
363,csv
370,csv
371,csv
372,csv
375,csv
376,csv
377,csv
378,csv
379,csv
387,csv
388,csv
390,csv
395,csv
396,csv
398,csv
401,csv
402,csv
405,csv
411,csv
412,csv
414,csv
416,csv
417,csv
418,csv
419,csv
420,csv
421,csv
422,csv
423,csv
424,csv
428,csv
433,csv
434,csv
435,csv
436,csv
441,csv
443,csv
444,csv
446,csv
456,csv
457,csv
461,csv
464,csv
465,csv
468,csv
469,csv
471,csv
474,csv
475,csv
478,csv
479,csv
484,csv
486,csv
491,csv
494,csv
496,csv
497,csv
498,csv
501,csv
502,csv
503,csv
505,csv
507,csv
508,csv
509,csv
512,csv
517,csv
519,csv
520,csv
525,csv
528,csv
532,csv
535,csv
536,csv
543,csv
544,csv
545,csv
546,csv
548,csv
550,csv
556,csv
559,csv
567,csv
568,csv
569,csv
571,csv
572,csv
574,csv
575,csv
576,csv
577,csv
580,csv
583,csv
587,csv
588,csv
590,csv
591,csv
597,csv
600,csv
604,csv
609,csv
614,csv
621,csv
622,csv
623,csv
624,csv
628,csv
629,csv
634,csv
635,csv
637,csv
643,csv
650,csv
651,csv
653,csv
654,csv
658,csv
663,csv
673,csv
676,csv
679,csv
680,csv
686,csv
688,csv
692,csv
